sku,color_name,category,image_url
G001,Gloss Black,Glossy,https://static.tildacdn.com/stor3864-3032-4864-b433-323864643964/94935416.jpg
G002,Ice Blue,Glossy,https://static.tildacdn.com/stor3262-3131-4662-b131-323966323735/76577801.jpg
G003,Ferrari Red,Glossy,https://static.tildacdn.com/stor6537-6232-4435-a263-333536643065/34292280.jpg
G004,Light Grey,Glossy,https://static.tildacdn.com/stor6535-3366-4232-b830-616231353362/86521089.jpg
G005,Pepper White,Glossy,https://static.tildacdn.com/stor3562-3264-4535-b364-633362623863/23214558.jpg
G006,Gloss White,Glossy,https://static.tildacdn.com/stor3633-6230-4134-a333-393265623731/26641970.jpg
G007,Jade White,Glossy,https://static.tildacdn.com/stor3163-6434-4062-b066-626365613236/74981205.jpg
G008,Midnight Blue,Glossy,https://static.tildacdn.com/stor3033-3536-4232-b936-393061633131/78850962.jpg
G009,Pearl Pink,Glossy,https://static.tildacdn.com/stor3636-6263-4332-b939-623437326264/45317653.jpg
G010,Neptune Blue,Glossy,https://static.tildacdn.com/stor3766-6239-4137-a437-353762623836/19054295.jpg
G011,Limestone,Glossy,https://static.tildacdn.com/stor6462-3330-4264-a334-363439393533/79553929.jpg
G012,Mint Green,Glossy,https://static.tildacdn.com/stor6139-3064-4531-b134-373663396538/87390391.jpg
G013,Strawberry Red,Glossy,https://static.tildacdn.com/stor3837-3136-4863-a434-396139666430/68591049.jpg
G014,Saga Green,Glossy,https://static.tildacdn.com/stor6538-3230-4638-b163-666565633165/27750152.jpg
G015,Green Hell,Glossy,https://static.tildacdn.com/stor3935-3432-4562-b433-303834393764/59202107.jpg
G016,Gloss Tiffany,Glossy,https://static.tildacdn.com/stor3265-6336-4366-a434-346335363530/18867732.jpg
G017,Vintage Green,Glossy,https://static.tildacdn.com/stor3166-3536-4134-a163-336164653234/84216317.jpg
G018,Warm Sand,Glossy,https://static.tildacdn.com/stor6237-6334-4161-a335-333638396631/83218401.jpg
G019,Grayish Green,Glossy,https://static.tildacdn.com/stor3033-3966-4732-b635-643764643262/37073455.jpg
G020,Arctic Grey,Glossy,https://static.tildacdn.com/stor3966-3738-4731-a430-303364613162/14155686.jpg
G021,Viper Green,Glossy,https://static.tildacdn.com/stor3530-3139-4364-b739-306264333663/54548655.jpg
G022,Agate Grey,Glossy,https://static.tildacdn.com/stor3031-3161-4338-b265-623338643965/65730355.jpg
G023,Miami Blue,Glossy,https://static.tildacdn.com/stor3135-3264-4335-b237-646330346364/83411833.jpg
G024,McLaren Orange,Glossy,https://static.tildacdn.com/stor6232-6235-4533-b761-323638326161/83565135.jpg
G025,Manta Violet,Glossy,https://static.tildacdn.com/stor3531-6234-4233-b135-373362393931/22963099.jpg
G026,Misty Grey Purple,Glossy,https://static.tildacdn.com/stor6534-3733-4230-a566-376362343339/85024307.jpg
G027,AMG-China Blue,Glossy,https://static.tildacdn.com/stor3266-6233-4035-a232-386235663863/17937187.jpg
G028,Lava Orange,Glossy,https://static.tildacdn.com/stor3938-3536-4861-a537-656332353736/11769395.jpg
G029,Sahara Yellow,Glossy,https://static.tildacdn.com/stor6236-3334-4063-b663-616132306239/91477506.jpg
G030,AMG Desert Sand,Glossy,https://static.tildacdn.com/stor3834-3963-4237-b232-653363396137/93561761.jpg
G031,Desert Yellow,Glossy,https://static.tildacdn.com/stor3931-3334-4133-b738-613539356430/64201448.jpg
G032,Dark Sea Blue,Glossy,https://static.tildacdn.com/stor6566-6532-4031-b132-363536373335/37739579.jpg
G033,Concrete Grey,Glossy,https://static.tildacdn.com/stor3137-3865-4965-b962-303561383731/17900144.jpg
G034,Adriatic Blue,Glossy,https://static.tildacdn.com/stor6163-3761-4466-b862-376532623333/65351841.jpg
G035,Acid Green,Glossy,https://static.tildacdn.com/stor6264-3632-4436-b664-333133353363/35314929.jpg
G036,Beets Purple,Glossy,https://static.tildacdn.com/stor6434-3338-4861-b733-336432396330/96335927.jpg
G037,Auratium Green,Glossy,https://static.tildacdn.com/stor3239-3737-4165-b032-626236313538/46486726.jpg
G038,Speed Yellow,Glossy,https://static.tildacdn.com/stor3538-3132-4631-a235-616139333737/82721523.jpg
G039,Starlight Gem Red,Glossy,https://static.tildacdn.com/stor6263-6462-4538-a361-623736306162/92362782.jpg
G040,Lavender Purple,Glossy,https://static.tildacdn.com/stor3135-6335-4630-a439-623432323235/99793096.jpg
G041,Chartreuse Green,Glossy,https://static.tildacdn.com/stor3933-3965-4234-b037-613230333765/94475763.jpg
G042,Battleship Grey,Glossy,https://static.tildacdn.com/stor6131-3239-4933-a264-616238626666/86331062.jpg
G043,Aromred Green,Glossy,https://static.tildacdn.com/stor3537-3462-4161-b765-306432383331/72362885.jpg
G044,Marykay Pink,Glossy,https://static.tildacdn.com/stor3766-3066-4562-b765-303138643163/89019293.jpg
G045,Deep Emerald Green,Glossy,https://static.tildacdn.com/stor3839-3462-4064-b339-396139393461/77846163.jpg
G046,Bubble Tea,Glossy,https://static.tildacdn.com/stor3965-3034-4235-a262-656263663435/68363787.jpg
G047,First Light Kiss,Glossy,https://static.tildacdn.com/stor3336-3664-4863-b862-303566663736/95857431.jpg
G048,Crayon Grey,Glossy,https://static.tildacdn.com/stor3532-3461-4661-b632-643163366466/79602112.jpg
G049,Provence,Glossy,https://static.tildacdn.com/stor3635-3031-4366-b135-663465353363/47656079.jpg
G050,Victoria's Purple,Glossy,https://static.tildacdn.com/stor3666-6137-4135-b738-333563656234/20431179.jpg
G051,Black Olive,Glossy,https://static.tildacdn.com/stor3831-3531-4766-b033-333262653536/82786865.jpg
G052,Sea Breeze Blue,Glossy,https://static.tildacdn.com/stor6561-3532-4331-a664-363936616333/44117360.jpg
G053,Chocolate,Glossy,https://static.tildacdn.com/stor3362-3833-4438-b939-356534643764/97557304.jpg
G054,Storm Gray,Glossy,https://static.tildacdn.com/stor3963-3439-4334-b764-376466393236/97075315.jpg
G055,Flame Red,Glossy,https://static.tildacdn.com/stor6564-3536-4334-b732-356465653633/55971395.jpg
GM001,Deep Emerald,Glossy Metal,https://static.tildacdn.com/stor3033-3166-4833-a638-343264663762/35666075.jpg
GM002,Midnight Violet,Glossy Metal,https://static.tildacdn.com/stor6539-6434-4138-a563-326461353965/26594840.jpg
GM003,GT Silver,Glossy Metal,https://static.tildacdn.com/stor3730-3538-4836-b562-363834666561/62973037.jpg
GM004,Milan Gold,Glossy Metal,https://static.tildacdn.com/stor6365-6463-4530-a538-393436313762/25309380.jpg
GM005,Frozen Berry,Glossy Metal,https://static.tildacdn.com/stor3766-3830-4466-a138-346566316232/81078668.jpg
